system:index,date,mean,name,.geo
20240517T201955_20240519T100430_4,2024-05-17,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240517T220125_20240519T114432_0,2024-05-17,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240517T220125_20240519T114432_1,2024-05-17,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240517T220125_20240519T114432_2,2024-05-17,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240517T220125_20240519T114432_3,2024-05-17,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240517T220125_20240519T114432_4,2024-05-17,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240517T234255_20240519T132508_0,2024-05-18,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240517T234255_20240519T132508_1,2024-05-18,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240517T234255_20240519T132508_2,2024-05-18,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240517T234255_20240519T132508_3,2024-05-18,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240517T234255_20240519T132508_4,2024-05-18,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240518T012425_20240519T151439_0,2024-05-18,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240518T012425_20240519T151439_1,2024-05-18,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240518T012425_20240519T151439_2,2024-05-18,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240518T012425_20240519T151439_3,2024-05-18,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240518T012425_20240519T151439_4,2024-05-18,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240518T030555_20240519T165441_0,2024-05-18,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240518T030555_20240519T165441_1,2024-05-18,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240518T030555_20240519T165441_2,2024-05-18,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240518T030555_20240519T165441_3,2024-05-18,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
