system:index,date,mean,name,.geo
20241119T234314_20241127T161304_4,2024-11-20,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20241120T012444_20241122T103930_0,2024-11-20,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20241120T012444_20241122T103930_1,2024-11-20,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20241120T012444_20241122T103930_2,2024-11-20,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20241120T012444_20241122T103930_3,2024-11-20,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20241120T012444_20241122T103930_4,2024-11-20,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20241120T030613_20241122T142612_0,2024-11-20,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20241120T030613_20241122T142612_1,2024-11-20,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20241120T030613_20241122T142612_2,2024-11-20,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20241120T030613_20241122T142612_3,2024-11-20,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20241120T030613_20241122T142612_4,2024-11-20,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20241120T044743_20241122T165628_0,2024-11-20,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20241120T044743_20241122T165628_1,2024-11-20,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20241120T044743_20241122T165628_2,2024-11-20,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20241120T044743_20241122T165628_3,2024-11-20,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20241120T044743_20241122T165628_4,2024-11-20,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20241120T062913_20241122T175030_0,2024-11-20,1.4672329802578097E-4,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20241120T062913_20241122T175030_1,2024-11-20,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20241120T062913_20241122T175030_2,2024-11-20,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20241120T062913_20241122T175030_3,2024-11-20,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20241120T062913_20241122T175030_4,2024-11-20,6.614733078897636E-5,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20241120T081043_20241122T180416_0,2024-11-20,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20241120T081043_20241122T180416_1,2024-11-20,1.3580086519291234E-4,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20241120T081043_20241122T180416_2,2024-11-20,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20241120T081043_20241122T180416_3,2024-11-20,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20241120T081043_20241122T180416_4,2024-11-20,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20241120T095212_20241122T191621_0,2024-11-20,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20241120T095212_20241122T191621_1,2024-11-20,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20241120T095212_20241122T191621_2,2024-11-20,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20241120T095212_20241122T191621_3,2024-11-20,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20241120T095212_20241122T191621_4,2024-11-20,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20241120T113342_20241122T191857_0,2024-11-20,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20241120T113342_20241122T191857_1,2024-11-20,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20241120T113342_20241122T191857_2,2024-11-20,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20241120T113342_20241122T191857_3,2024-11-20,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20241120T113342_20241122T191857_4,2024-11-20,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20241120T131512_20241122T201852_0,2024-11-20,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20241120T131512_20241122T201852_1,2024-11-20,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20241120T131512_20241122T201852_2,2024-11-20,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20241120T131512_20241122T201852_3,2024-11-20,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
