date,name,mean,.geo
2024-05-06,Delhi,0.0472073250487268,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
2024-05-06,Hyderabad,0.054991509833276,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
2024-05-06,Mumbai,0.035586584811815,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
2024-05-07,Bangalore,0.037213961046384,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
2024-05-07,Mumbai,0.0329354759540882,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
2024-05-08,Bangalore,0.0401950566869083,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
2024-05-08,Hyderabad,0.0409428528707992,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
2024-05-08,Mumbai,0.0377527617285539,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
2024-05-09,Bangalore,0.0387057882706936,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
2024-05-09,Delhi,0.0496618486940876,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
2024-05-09,Hyderabad,0.0445180682900009,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
2024-05-09,Mumbai,0.0376060134985656,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
2024-05-10,Bangalore,0.0424032148386482,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
2024-05-10,Chennai,0.0387405215634647,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
2024-05-10,Delhi,0.0595381800709755,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
2024-05-10,Hyderabad,0.0409046356640031,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
2024-05-10,Mumbai,0.0443341760482149,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
2024-05-11,Bangalore,0.0389961672838698,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
2024-05-11,Chennai,0.0347615518857191,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
2024-05-11,Delhi,0.0569653345906855,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
2024-05-11,Hyderabad,0.0446404723462804,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
2024-05-11,Mumbai,0.0468398803973283,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
2024-05-12,Bangalore,0.0372031318349794,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
2024-05-12,Chennai,0.0344783174536999,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
2024-05-12,Delhi,0.0492440348948612,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
2024-05-12,Hyderabad,0.0433073993536927,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
2024-05-14,Bangalore,0.0373318749742243,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
2024-05-14,Delhi,0.0709282222884114,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
2024-05-14,Hyderabad,0.0424312588329767,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
2024-05-15,Bangalore,0.030476912130727,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
2024-05-15,Delhi,0.0576462820172328,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
2024-05-15,Hyderabad,0.0479782328205498,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
2024-05-16,Delhi,0.0559415146292244,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
2024-05-16,Mumbai,0.0484983973702124,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
2024-05-17,Delhi,0.0583267340584012,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
2024-05-19,Hyderabad,0.0387117045822334,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
2024-05-19,Mumbai,0.0432399328118617,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
2024-05-20,Bangalore,0.0325071085451459,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
2024-05-20,Delhi,0.0457618143579027,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
2024-05-20,Hyderabad,0.0375235278560989,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
2024-05-20,Mumbai,0.043357357005371,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
2024-05-21,Bangalore,0.0275611366635184,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
2024-05-21,Chennai,0.0308777759736325,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
2024-05-21,Delhi,0.0479173370449027,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
2024-05-21,Hyderabad,0.0428731764874479,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
