start_lat,start_lon,end_lat,end_lon,wind_speed_ms,wind_dir_deg,plume_distance_km
29.2,76.45,28.892628290329185,76.7572813468267,0.5227555983691962,139.11948707470617,45.16608369909855
29.2,76.75,28.891954277615415,77.16798211670715,0.6111405240331584,130.40214009150316,52.80254127646489
29.35,76.3,29.057679395049036,76.46421027094311,0.4179971494541113,154.06127906054527,36.114953712835224
29.5,74.65,29.19604133671195,74.59430098365102,0.3957437580506876,189.015943748613,34.192260695579414
29.5,74.8,29.189719434990526,74.74967948790648,0.40289819408083777,187.99361985501992,34.81040396858439
29.5,75.1,29.197953148986926,74.95705781349768,0.41974022250031945,202.2826689125615,36.2655552240276
29.5,77.35,29.087597806812084,78.01142818446962,0.9075120630690924,125.75668739366789,78.40904224916959
29.8,75.4,29.492114342450023,75.26074641796755,0.4251822511683913,201.3868899587486,36.73574650094901
29.8,75.55,29.481510508629142,75.44634273017518,0.42549132279795693,195.73868650262997,36.762450289743484
29.8,75.7,29.470878722794307,75.63100135965803,0.4301267934140867,190.28879701267564,37.162954950977095
29.8,75.85,29.45099402924683,75.83842628007123,0.4489646446448819,181.64476720562575,38.7905452973178
29.8,76.0,29.4174136399579,76.1017592005819,0.5048384298988968,167.03058598416033,43.61804034326469
29.8,76.15,29.385174947338637,76.3467505110029,0.5766472543980551,157.67263732773316,49.822322779991964
29.8,77.2,29.401084126147143,77.68521357217102,0.7449799214241645,133.5156365757609,64.36626521104782
29.95,74.5,29.615565994255828,74.33970626723989,0.46560649788198677,202.5393387868277,40.22840141700366
29.95,75.85,29.57044775196285,75.93331008740621,0.4967951780426015,169.23880427213533,42.92310338288077
30.1,74.5,29.781915812831436,74.29514821760372,0.4683156148778314,209.14605301389335,40.462469125444635
30.1,74.8,29.786972226675946,74.59129576990361,0.4647774641956126,209.9982873782565,40.15677290650093
30.1,74.95,29.7826209419381,74.74418982606916,0.46804544288108885,209.3142007157622,40.43912626492608
30.1,75.1,29.743488122406145,74.92897758107175,0.49640647868723164,202.55676276811462,42.88951975857682
30.1,75.25,29.719277195454076,75.13158191692804,0.5070078653170766,195.07330617345136,43.80547956339542
30.1,75.4,29.704552812859564,75.31968947686178,0.5162999067439411,189.97355154182017,44.608311942676515
30.1,75.7,29.647339259472975,75.78008743115622,0.5888580451969874,171.2901299296189,50.87733510501971
30.1,76.0,29.621554053999304,76.24415663106525,0.6726091287941591,156.16069832765913,58.113428727815354
30.1,76.45,29.716717476591562,76.8839948993215,0.6902238327071619,135.5654993705577,59.6353391458988
30.25,74.5,29.96409622813859,74.29570491913698,0.43231818689868945,211.7461956894218,37.35229134804677
30.25,74.8,29.925150106963976,74.62326134049223,0.461749614556169,205.22495876553538,39.895166697653
30.25,74.95,29.91268878270655,74.78408839350679,0.4714414847264964,203.0691243405625,40.73254428036929
30.25,75.1,29.881815255900744,74.94893904644337,0.5024303416378687,199.55813807639808,43.40998151751186
30.25,75.55,29.776014773508752,75.57932739753485,0.6103620518395346,176.93325721684627,52.735281278935794
30.25,75.7,29.75609342590524,75.77002142690075,0.6398718124175163,173.00154137202856,55.284924592873416
30.25,76.0,29.751429395049033,76.23554755248547,0.692671854864161,157.75129484566656,59.84684826026352
30.25,76.15,29.784230028628016,76.44450492482176,0.6828138005860214,151.29940810724972,58.99511237063225
30.4,74.5,30.134061349650743,74.32588191855227,0.39309638245738854,209.5498612245414,33.96352744431837
30.4,75.25,30.00375248868652,75.15203795740362,0.5210704202459334,192.08284482198866,45.02048430924865
30.4,75.55,29.968403738967798,75.55247751204239,0.5549876958551387,179.71521430572832,47.950936921883994
30.4,76.0,29.91247360493877,76.19996646734384,0.6652638582350134,160.44716293186042,57.478797351505165
30.55,74.5,30.26495482962374,74.38310980073132,0.3889545769669983,199.54890017955793,33.605675449948656
30.55,74.65,30.24591950812284,74.53924295837815,0.4099967018871912,197.50459748267428,35.42371504305332
30.55,74.8,30.211312805265056,74.72147987528302,0.4441994660026472,191.35093150009465,38.378833862628724
30.55,75.1,30.208732254241202,75.0066648536809,0.45096656054207324,193.3231132233518,38.96351083083513
30.55,76.0,30.016338278515505,76.19280243732825,0.7190188643794606,162.6287859296483,62.1232298823854
30.55,76.45,29.99829683569935,76.95216190572093,0.903270437482001,141.75720267975296,78.04256579844488
30.7,74.5,30.380305671348538,74.40626864542337,0.42412888634092094,194.24473128451058,36.64473577985557
30.7,74.8,30.361033021427296,74.76576414227237,0.43753441111624913,184.99808803942733,37.80297312044393
30.7,75.1,30.38057095178283,75.03198502812216,0.4176701172968631,190.44633292045214,36.08669813444897
30.7,75.55,30.259613357976573,75.54116258383293,0.5663696944088329,180.99547672948825,48.93434159692317
30.85,74.5,30.511445445482202,74.40881308815335,0.4470230231594517,193.12783675851617,38.62278920097663
30.85,74.8,30.508900757419646,74.79325325999586,0.4386768909242917,180.9811929228229,37.9016833758588
30.85,74.95,30.51662817078598,74.9615007668176,0.42886725850282537,178.28899050448524,37.054131134644116
30.85,75.1,30.53217001793945,75.0550363697282,0.4117460213860576,186.98380099200665,35.57485624775538
30.85,75.25,30.519374851704075,75.20955454475418,0.4275225318974883,186.04645859143088,36.93794675594299
30.85,75.4,30.49177645709899,75.3619844799478,0.46257300219185965,185.25016010383297,39.966307389376674
31.0,74.8,30.63103233581186,74.78543202981136,0.47472519191861534,181.95805671032915,41.01625658176837
31.0,74.95,30.636133050961497,74.94268955401225,0.4679598929969947,180.99664640196116,40.431734754940344
31.0,75.1,30.664035489642867,75.07143744252575,0.43317889708733626,184.21021884438508,37.42665670834585
31.0,75.4,30.640692393614515,75.46989900129006,0.4685354087982575,170.43840833034818,40.48145932016945
31.15,75.1,30.784269759163568,75.0940481128415,0.4703317561388439,180.8073255909758,40.636663730396116
31.15,75.7,30.624539557627788,75.99678076210736,0.7521534316579561,153.9388742922607,64.98605649524741
31.15,75.85,30.56521457239489,76.26348647773885,0.8817058172702242,148.5231249317241,76.17938261214738
31.3,75.1,30.82412326599863,75.13083457252834,0.6128825469631535,176.78876541165712,52.95305205761646
31.6,74.65,31.290426937381394,74.7903119999257,0.42763249177600543,158.57210133724038,36.94744728944687
31.6,75.55,31.057108839946647,75.41914231762321,0.7131353189680256,191.78908211865232,61.61489155883742
