City,date,CPCB_AQI,CPCB_PM25,CPCB_PM10,CPCB_NO2_surface,CPCB_SO2,CPCB_CO_surface,CPCB_O3,TROPOMI_CO_mol_m2,TROPOMI_HCHO_mol_m2,TROPOMI_NO2_mol_m2,temp_c,dewpoint_c,wind_speed_ms,pressure_hpa,precip_mm,rel_humidity_pct
Delhi,2024-01-01,346.0,190.3,373.68,287.18,394.44,3.63,328.7,0.0566814715537561,0.0001374528504522,0.0002312806041985,10.792705154418968,7.462885793050134,1.4655161605683664,991.4621061197917,0.0008523463179699,79.90597045617055
Delhi,2024-01-02,340.0,187.0,367.2,282.2,387.6,3.57,323.0,0.0476538793724554,0.0003654009012851,0.0003067273397037,10.089290237426836,7.429096476237021,1.4123912997752253,990.8544124348958,0.0025868415605145,83.54947178577241
Delhi,2024-01-03,341.0,187.55,368.28,283.03,388.74,3.58,323.95,0.0591350564181109,0.0002700475716015,0.0002820088935331,10.851445770263696,7.916797256469749,1.0316001811846884,990.5410774739584,0.0101506709029308,82.09484685643855
Delhi,2024-01-06,319.0,175.45,344.52,264.77,363.66,3.35,303.05,0.044406591954346,,,12.701870854695642,8.50020561218264,0.739215432482785,992.5480192057292,0.009584426834408,75.59488560904386
Delhi,2024-01-07,333.0,183.15,359.64,276.39,379.62,3.5,316.35,0.0526657225069284,0.0001782550129313,0.000281751652681,11.418257013956747,7.338941828409872,0.2837648164028085,993.0981217447916,0.0012993812106287,76.01260980140985
Delhi,2024-01-08,345.0,189.75,372.6,286.35,393.3,3.62,327.75,0.0586191076895531,5.885069603933643e-05,0.0003664401712706,11.927482223510763,8.18312543233236,0.9959075646112332,992.9293277994792,0.000441074366364,77.84869133943671
Delhi,2024-01-10,273.0,150.15,294.84,226.59,311.22,2.87,259.35,0.0440564006635392,-5.33175406271481e-05,0.0001599128913918,10.552605565389,6.04069608052572,3.031569279428372,991.2432389322915,0.001713631718303,73.64026113281976
Delhi,2024-01-11,348.0,191.4,375.84,288.84,396.72,3.65,330.6,0.0497330115921632,0.0004333018355366,0.000276168511605,10.576308186848962,7.269951756795251,2.574910874748524,991.94771484375,0.0002235174179077,80.00341479251351
Delhi,2024-01-12,340.0,187.0,367.2,282.2,387.6,3.57,323.0,0.0417101118562124,1.974543114865288e-05,0.0002047213406777,11.189745203654011,6.704321797688806,2.0632672550113207,990.8821354166668,0.0,73.88845976970394
Delhi,2024-01-13,398.0,218.9,429.84,330.34,453.72,4.18,378.1,,0.0003338747777241,0.0004770164724023,10.604538218180435,7.07840245564779,0.9615235794235972,990.4389973958332,0.0034719705581665,78.81345232510859
Delhi,2024-01-14,447.0,245.85,482.76,371.01,509.58,4.69,424.65,0.0517688656667205,0.0003348820781875,0.000420962333396,10.57319793701174,6.204652404785236,2.108906026666327,990.5738069661458,0.0009238719371751,74.37598806176224
Delhi,2024-01-15,359.0,197.45,387.72,297.97,409.26,3.77,341.05,0.0397789402131029,0.0002077849701499,,9.502954101562525,5.881387964884482,1.325370566722732,989.6492757161458,0.0,78.1314395746624
Delhi,2024-01-16,371.0,204.05,400.68,307.93,422.94,3.9,352.45,0.0512909572021852,0.0002908714977481,0.0002314790434639,10.660112635294638,6.325903193155966,1.6797999663456165,987.91609375,0.0055611133120692,74.56739439504757
Delhi,2024-01-17,368.0,202.4,397.44,305.44,419.52,3.86,349.6,,0.0002109996768089,0.0003610031076367,11.163945134480798,7.4382797241211165,1.884396556968164,988.7896142578124,0.0004351138045421,77.8298920282691
Delhi,2024-01-18,318.0,174.9,343.44,263.94,362.52,3.34,302.1,0.0536361021454385,0.0001737548908339,0.0004262179576725,11.785831069946312,8.823246892293298,0.8081034249871002,990.5171305338542,0.000441074366364,82.05925904516116
Delhi,2024-01-19,348.0,191.4,375.84,288.84,396.72,3.65,330.6,0.0491663599777492,0.000197114844494,0.0002874330669441,11.415399169921898,8.375596618652366,1.042393211097599,991.7011539713542,0.0007450580596923,81.58381050724716
