system:index,date,mean,name,.geo
20240601T103017_20240607T090148_3,2024-06-01,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240601T103017_20240607T090148_4,2024-06-01,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240601T121147_20240607T090505_0,2024-06-01,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240601T121147_20240607T090505_1,2024-06-01,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240601T121147_20240607T090505_2,2024-06-01,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240601T121147_20240607T090505_3,2024-06-01,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240601T121147_20240607T090505_4,2024-06-01,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240601T135317_20240607T085533_0,2024-06-01,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240601T135317_20240607T085533_1,2024-06-01,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240601T135317_20240607T085533_2,2024-06-01,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240601T135317_20240607T085533_3,2024-06-01,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240601T135317_20240607T085533_4,2024-06-01,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240601T153447_20240607T085406_0,2024-06-01,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240601T153447_20240607T085406_1,2024-06-01,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240601T153447_20240607T085406_2,2024-06-01,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240601T153447_20240607T085406_3,2024-06-01,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240601T153447_20240607T085406_4,2024-06-01,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240601T171616_20240608T023734_0,2024-06-01,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240601T171616_20240608T023734_1,2024-06-01,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240601T171616_20240608T023734_2,2024-06-01,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240601T171616_20240608T023734_3,2024-06-01,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240601T171616_20240608T023734_4,2024-06-01,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240601T185746_20240608T044218_0,2024-06-01,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240601T185746_20240608T044218_1,2024-06-01,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240601T185746_20240608T044218_2,2024-06-01,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240601T185746_20240608T044218_3,2024-06-01,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240601T185746_20240608T044218_4,2024-06-01,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240601T203916_20240608T175639_0,2024-06-01,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240601T203916_20240608T175639_1,2024-06-01,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240601T203916_20240608T175639_2,2024-06-01,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240601T203916_20240608T175639_3,2024-06-01,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240601T203916_20240608T175639_4,2024-06-01,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240601T222046_20240608T191646_0,2024-06-01,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240601T222046_20240608T191646_1,2024-06-01,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240601T222046_20240608T191646_2,2024-06-01,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240601T222046_20240608T191646_3,2024-06-01,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240601T222046_20240608T191646_4,2024-06-01,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240602T000216_20240608T192654_0,2024-06-02,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240602T000216_20240608T192654_1,2024-06-02,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240602T000216_20240608T192654_2,2024-06-02,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240602T000216_20240608T192654_3,2024-06-02,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240602T000216_20240608T192654_4,2024-06-02,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240602T014346_20240608T193345_0,2024-06-02,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240602T014346_20240608T193345_1,2024-06-02,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240602T014346_20240608T193345_2,2024-06-02,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240602T014346_20240608T193345_3,2024-06-02,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240602T014346_20240608T193345_4,2024-06-02,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240602T032516_20240608T194730_0,2024-06-02,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240602T032516_20240608T194730_1,2024-06-02,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240602T032516_20240608T194730_2,2024-06-02,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240602T032516_20240608T194730_3,2024-06-02,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240602T032516_20240608T194730_4,2024-06-02,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240602T050646_20240608T210015_0,2024-06-02,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240602T050646_20240608T210015_1,2024-06-02,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240602T050646_20240608T210015_2,2024-06-02,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240602T050646_20240608T210015_3,2024-06-02,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240602T050646_20240608T210015_4,2024-06-02,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240602T064816_20240608T043247_0,2024-06-02,3.804028486989048E-4,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240602T064816_20240608T043247_1,2024-06-02,2.9846345491789808E-5,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240602T064816_20240608T043247_2,2024-06-02,2.2077491570046397E-4,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240602T064816_20240608T043247_3,2024-06-02,2.9864044160158616E-4,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240602T064816_20240608T043247_4,2024-06-02,1.8870502314076933E-4,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240602T082946_20240608T043545_0,2024-06-02,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240602T082946_20240608T043545_1,2024-06-02,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240602T082946_20240608T043545_2,2024-06-02,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240602T082946_20240608T043545_3,2024-06-02,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240602T082946_20240608T043545_4,2024-06-02,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240602T101115_20240608T065011_0,2024-06-02,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240602T101115_20240608T065011_1,2024-06-02,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240602T101115_20240608T065011_2,2024-06-02,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240602T101115_20240608T065011_3,2024-06-02,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240602T101115_20240608T065011_4,2024-06-02,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240602T115245_20240608T065654_0,2024-06-02,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240602T115245_20240608T065654_1,2024-06-02,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240602T115245_20240608T065654_2,2024-06-02,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240602T115245_20240608T065654_3,2024-06-02,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240602T115245_20240608T065654_4,2024-06-02,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240602T133415_20240608T081309_0,2024-06-02,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240602T133415_20240608T081309_1,2024-06-02,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240602T133415_20240608T081309_2,2024-06-02,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240602T133415_20240608T081309_3,2024-06-02,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240602T133415_20240608T081309_4,2024-06-02,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240602T151545_20240608T081820_0,2024-06-02,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240602T151545_20240608T081820_1,2024-06-02,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240602T151545_20240608T081820_2,2024-06-02,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240602T151545_20240608T081820_3,2024-06-02,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240602T151545_20240608T081820_4,2024-06-02,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240602T165715_20240608T093409_0,2024-06-02,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240602T165715_20240608T093409_1,2024-06-02,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240602T165715_20240608T093409_2,2024-06-02,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240602T165715_20240608T093409_3,2024-06-02,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240602T165715_20240608T093409_4,2024-06-02,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240602T183845_20240608T214205_0,2024-06-02,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240602T183845_20240608T214205_1,2024-06-02,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240602T183845_20240608T214205_2,2024-06-02,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240602T183845_20240608T214205_3,2024-06-02,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240602T183845_20240608T214205_4,2024-06-02,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240602T202015_20240608T215553_0,2024-06-02,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240602T202015_20240608T215553_1,2024-06-02,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240602T202015_20240608T215553_2,2024-06-02,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240602T202015_20240608T215553_3,2024-06-02,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240602T202015_20240608T215553_4,2024-06-02,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240602T220145_20240608T215514_0,2024-06-02,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240602T220145_20240608T215514_1,2024-06-02,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240602T220145_20240608T215514_2,2024-06-02,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240602T220145_20240608T215514_3,2024-06-02,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240602T220145_20240608T215514_4,2024-06-02,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240602T234314_20240610T155508_0,2024-06-03,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240602T234314_20240610T155508_1,2024-06-03,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240602T234314_20240610T155508_2,2024-06-03,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240602T234314_20240610T155508_3,2024-06-03,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240602T234314_20240610T155508_4,2024-06-03,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240603T012444_20240610T133935_0,2024-06-03,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240603T012444_20240610T133935_1,2024-06-03,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240603T012444_20240610T133935_2,2024-06-03,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240603T012444_20240610T133935_3,2024-06-03,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240603T012444_20240610T133935_4,2024-06-03,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240603T030614_20240609T085018_0,2024-06-03,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240603T030614_20240609T085018_1,2024-06-03,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240603T030614_20240609T085018_2,2024-06-03,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240603T030614_20240609T085018_3,2024-06-03,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
