system:index,fire_nov,fire_oct,hcho,lat,lon,u_component_of_wind_10m,v_component_of_wind_10m,.geo
43,,,1.7054039948058945E-4,28.3,74.65,0.5619602541128794,0.23616228037410314,"{""type"":""Point"",""coordinates"":[74.65000000000002,28.3]}"
44,,,1.759352286627829E-4,28.3,74.8,0.5913591934574973,0.23855451941490177,"{""type"":""Point"",""coordinates"":[74.8,28.3]}"
45,,,1.9657552778185966E-4,28.3,74.95,0.5797008004453444,0.2634758518801795,"{""type"":""Point"",""coordinates"":[74.95,28.3]}"
46,,,2.039915663630866E-4,28.3,75.1,0.5232768502500325,0.3043639812204573,"{""type"":""Point"",""coordinates"":[75.1,28.3]}"
47,,,1.9341879049755673E-4,28.3,75.25,0.4325626711050667,0.3781225939591725,"{""type"":""Point"",""coordinates"":[75.25,28.3]}"
48,,,1.7859837979846376E-4,28.3,75.4,0.40057143304083087,0.36674869259198495,"{""type"":""Point"",""coordinates"":[75.4,28.3]}"
49,,,2.1327928920871189E-4,28.3,75.55,0.32121860914760164,0.3433644288116032,"{""type"":""Point"",""coordinates"":[75.55,28.3]}"
50,,,2.1082806093433392E-4,28.3,75.7,0.3401462892691293,0.3211171143584781,"{""type"":""Point"",""coordinates"":[75.7,28.3]}"
51,,,2.1967013105531866E-4,28.3,75.85,0.39373007019360867,0.25966997080379056,"{""type"":""Point"",""coordinates"":[75.85000000000001,28.3]}"
52,,,2.24274208574029E-4,28.3,76.0,0.47937697503301846,0.14172597395049202,"{""type"":""Point"",""coordinates"":[76.0,28.3]}"
53,,,2.3455429247171852E-4,28.3,76.15,0.5085921307404836,0.059567906459172544,"{""type"":""Point"",""coordinates"":[76.15,28.3]}"
54,,,2.287922965688674E-4,28.3,76.3,0.525209630197949,0.005762364466985052,"{""type"":""Point"",""coordinates"":[76.3,28.3]}"
55,,,2.5520327982649836E-4,28.3,76.45,0.503843934668435,-0.05352650814586215,"{""type"":""Point"",""coordinates"":[76.45,28.3]}"
56,,,2.435042373341875E-4,28.3,76.6,0.5061290231015947,-0.11077172027693852,"{""type"":""Point"",""coordinates"":[76.6,28.300000000000004]}"
57,,,2.6080134529582965E-4,28.3,76.75,0.5245891061094071,-0.1973734862274594,"{""type"":""Point"",""coordinates"":[76.75,28.300000000000004]}"
58,,,3.03226359566445E-4,28.3,76.9,0.5779128094514211,-0.3541507621606191,"{""type"":""Point"",""coordinates"":[76.90000000000002,28.3]}"
59,,,2.5385529307240406E-4,28.3,77.05,0.6093343860573238,-0.5063453151120078,"{""type"":""Point"",""coordinates"":[77.05,28.3]}"
60,,,3.041795544782343E-4,28.3,77.2,0.6076854195859696,-0.5589525335364872,"{""type"":""Point"",""coordinates"":[77.2,28.3]}"
61,,,3.34017879041511E-4,28.3,77.35,0.5578013863828448,-0.5586870306067997,"{""type"":""Point"",""coordinates"":[77.35,28.300000000000004]}"
62,,,3.285064520750968E-4,28.3,77.5,0.5456852296988168,-0.5452921873993345,"{""type"":""Point"",""coordinates"":[77.5,28.3]}"
63,,,1.811569773166818E-4,28.45,74.5,0.4662245770295458,0.120900778637992,"{""type"":""Point"",""coordinates"":[74.5,28.45]}"
64,,,1.7583664229577444E-4,28.45,74.65,0.4927769045035047,0.10269975596004062,"{""type"":""Point"",""coordinates"":[74.65000000000002,28.45]}"
65,,,1.6795001662249813E-4,28.45,74.8,0.5085060033533308,0.08725616600778374,"{""type"":""Point"",""coordinates"":[74.8,28.45]}"
66,,,1.7643650590196805E-4,28.45,74.95,0.4964203642474282,0.08467505706681146,"{""type"":""Point"",""coordinates"":[74.95,28.45]}"
67,,,2.0067732651087012E-4,28.45,75.1,0.44049656324916436,0.10973880489667259,"{""type"":""Point"",""coordinates"":[75.1,28.450000000000003]}"
68,,,2.2193950379809988E-4,28.45,75.25,0.35078539517190704,0.16162445214059618,"{""type"":""Point"",""coordinates"":[75.25,28.450000000000003]}"
69,,,2.106717434446677E-4,28.45,75.4,0.2935174643993378,0.17451982431941568,"{""type"":""Point"",""coordinates"":[75.4,28.45]}"
70,,,1.8071355740630792E-4,28.45,75.55,0.16397577060593502,0.19192196461889474,"{""type"":""Point"",""coordinates"":[75.55,28.45]}"
71,,,1.932605618892046E-4,28.45,75.7,0.157310731543435,0.19005157616403368,"{""type"":""Point"",""coordinates"":[75.7,28.450000000000003]}"
72,,,2.4172469206014524E-4,28.45,75.85,0.19314820170402527,0.18024899098608227,"{""type"":""Point"",""coordinates"":[75.85000000000001,28.45]}"
73,,,2.3607157309678996E-4,28.45,76.0,0.2620789335833656,0.11795956227514479,"{""type"":""Point"",""coordinates"":[76.0,28.450000000000003]}"
74,,,2.373870316275631E-4,28.45,76.15,0.3164683785703447,-0.002269523011313543,"{""type"":""Point"",""coordinates"":[76.15,28.450000000000003]}"
75,,,2.4093167227728967E-4,28.45,76.3,0.3413456300894419,-0.06448435319794552,"{""type"":""Point"",""coordinates"":[76.3,28.45]}"
76,,,2.5176702707827107E-4,28.45,76.45,0.38156203362676827,-0.19184437923961212,"{""type"":""Point"",""coordinates"":[76.45,28.45]}"
77,,,2.3055366405352082E-4,28.45,76.6,0.39733148349655995,-0.25290462772051486,"{""type"":""Point"",""coordinates"":[76.6,28.450000000000003]}"
78,,,2.7598208901956936E-4,28.45,76.75,0.43351651496357385,-0.3158498452769385,"{""type"":""Point"",""coordinates"":[76.75,28.45]}"
79,,,2.524214656359727E-4,28.45,76.9,0.5052450305885738,-0.4365672118133968,"{""type"":""Point"",""coordinates"":[76.90000000000002,28.450000000000003]}"
80,,,2.8084266883668477E-4,28.45,77.05,0.56152826084031,-0.5440328286753762,"{""type"":""Point"",""coordinates"":[77.05,28.45]}"
81,,,3.0514952096485616E-4,28.45,77.2,0.5774713218212129,-0.5949663274817996,"{""type"":""Point"",""coordinates"":[77.2,28.450000000000003]}"
82,,,3.63890795983231E-4,28.45,77.35,0.5819051868385738,-0.590661992629369,"{""type"":""Point"",""coordinates"":[77.35,28.45]}"
83,,,3.617427686243904E-4,28.45,77.5,0.5860576119687823,-0.5857222139835357,"{""type"":""Point"",""coordinates"":[77.5,28.45]}"
84,,,1.7686686754456648E-4,28.6,74.5,0.39822327494621274,0.02854339745309622,"{""type"":""Point"",""coordinates"":[74.5,28.6]}"
85,,,2.0126238146197712E-4,28.6,74.65,0.41952217088805305,0.016369596454832294,"{""type"":""Point"",""coordinates"":[74.65000000000002,28.6]}"
86,,,1.9100519375073885E-4,28.6,74.8,0.4254866619904835,0.026815763447019806,"{""type"":""Point"",""coordinates"":[74.8,28.600000000000005]}"
87,,,1.7763988246600202E-4,28.6,74.95,0.4149489422639211,0.024480151467853144,"{""type"":""Point"",""coordinates"":[74.95,28.6]}"
88,,,1.934270942304671E-4,28.6,75.1,0.3591126249896155,0.04950422644615171,"{""type"":""Point"",""coordinates"":[75.1,28.600000000000005]}"
89,,,2.0385439547085106E-4,28.6,75.25,0.29008898403909483,0.09309926496611705,"{""type"":""Point"",""coordinates"":[75.25,28.600000000000005]}"
